Date,County Code,County Name,Number of Transactions,Legend Name EN,Legend Name HU,Legend Name RO
2020-09,16,COVASNA,327,Others,Egyéb,Alti
2020-09,17,DAMBOVITA,1012,Others,Egyéb,Alti
2020-09,18,DOLJ,1480,Others,Egyéb,Alti
2020-09,19,GALATI,1068,Others,Egyéb,Alti
2020-09,20,GIURGIU,368,Others,Egyéb,Alti
2020-09,21,GORJ,533,Others,Egyéb,Alti
2020-09,22,HARGHITA,789,Others,Egyéb,Alti
2020-09,23,HUNEDOARA,640,Others,Egyéb,Alti
2020-09,24,IALOMITA,421,Others,Egyéb,Alti
2020-09,25,IASI,1179,Others,Egyéb,Alti
2020-09,26,ILFOV,3354,Ilfov,Ilfov,Ilfov
2020-09,27,MARAMURES,884,Others,Egyéb,Alti
2020-09,28,MEHEDINTI,554,Others,Egyéb,Alti
2020-09,29,MURES,1151,Others,Egyéb,Alti
2020-09,30,NEAMT,763,Others,Egyéb,Alti
2020-09,31,OLT,87,Others,Egyéb,Alti
2020-09,32,PRAHOVA,1116,Others,Egyéb,Alti
2020-09,33,SALAJ,385,Others,Egyéb,Alti
2020-09,34,SATU MARE,1078,Others,Egyéb,Alti
2020-09,35,SIBIU,646,Others,Egyéb,Alti
2020-09,36,SUCEAVA,1327,Others,Egyéb,Alti
2020-09,37,TELEORMAN,452,Others,Egyéb,Alti
2020-09,38,TIMIS,2486,Timis,Temes,Timis
2020-09,39,TULCEA,509,Others,Egyéb,Alti
2020-09,40,VALCEA,608,Others,Egyéb,Alti
2020-09,41,VASLUI,324,Others,Egyéb,Alti
2020-09,42,VRANCEA,535,Others,Egyéb,Alti
2020-10,1,ALBA,828,Others,Egyéb,Alti
2020-10,2,ARAD,2185,Others,Egyéb,Alti
2020-10,3,ARGES,1784,Others,Egyéb,Alti
2020-10,4,BACAU,1877,Others,Egyéb,Alti
2020-10,5,BIHOR,2065,Others,Egyéb,Alti
2020-10,6,BISTRITA NASAUD,640,Others,Egyéb,Alti
2020-10,7,BOTOSANI,1645,Others,Egyéb,Alti
2020-10,8,BRAILA,935,Others,Egyéb,Alti
2020-10,9,BRASOV,3907,Brasov,Brassó,Brasov
2020-10,10,BUCURESTI,13623,Bucharest,Bukarest,Bucuresti
2020-10,11,BUZAU,2010,Others,Egyéb,Alti
2020-10,12,CALARASI,590,Others,Egyéb,Alti
2020-10,13,CARAS SEVERIN,430,Others,Egyéb,Alti
2020-10,14,CLUJ,4392,Cluj,Kolozs,Cluj
2020-10,15,CONSTANTA,3155,Constanta,Konstanca,Constanta
2020-10,16,COVASNA,391,Others,Egyéb,Alti
2020-10,17,DAMBOVITA,1711,Others,Egyéb,Alti
2020-10,18,DOLJ,2341,Others,Egyéb,Alti
2020-10,19,GALATI,1478,Others,Egyéb,Alti
2020-10,20,GIURGIU,836,Others,Egyéb,Alti
2020-10,21,GORJ,692,Others,Egyéb,Alti
2020-10,22,HARGHITA,975,Others,Egyéb,Alti
2020-10,23,HUNEDOARA,1035,Others,Egyéb,Alti
2020-10,24,IALOMITA,988,Others,Egyéb,Alti
2020-10,25,IASI,4138,Others,Egyéb,Alti
2020-10,26,ILFOV,6281,Ilfov,Ilfov,Ilfov
2020-10,27,MARAMURES,994,Others,Egyéb,Alti
2020-10,28,MEHEDINTI,930,Others,Egyéb,Alti
2020-10,29,MURES,1319,Others,Egyéb,Alti
2020-10,30,NEAMT,1312,Others,Egyéb,Alti
2020-10,31,OLT,292,Others,Egyéb,Alti
2020-10,32,PRAHOVA,2064,Others,Egyéb,Alti
2020-10,33,SALAJ,537,Others,Egyéb,Alti
2020-10,34,SATU MARE,1198,Others,Egyéb,Alti
2020-10,35,SIBIU,1141,Others,Egyéb,Alti
2020-10,36,SUCEAVA,2241,Others,Egyéb,Alti
2020-10,37,TELEORMAN,867,Others,Egyéb,Alti
2020-10,38,TIMIS,4805,Timis,Temes,Timis
2020-10,39,TULCEA,798,Others,Egyéb,Alti
2020-10,40,VALCEA,1004,Others,Egyéb,Alti
2020-10,41,VASLUI,2026,Others,Egyéb,Alti
2020-10,42,VRANCEA,1215,Others,Egyéb,Alti
2020-11,1,ALBA,753,Others,Egyéb,Alti
2020-11,2,ARAD,937,Others,Egyéb,Alti
2020-11,3,ARGES,1057,Others,Egyéb,Alti
2020-11,4,BACAU,1370,Others,Egyéb,Alti
2020-11,5,BIHOR,2226,Others,Egyéb,Alti
2020-11,6,BISTRITA NASAUD,616,Others,Egyéb,Alti
